"MARKET","PARTNER","PARTNER_LINK_STATUS","TOTAL_REGISTRATIONS"
"AIA Australia","GARMIN","ACTIVE",741
"AIA Australia","GARMIN","INACTIVE",29
"AIA Australia","GARMIN","PENDING",50
"AIA Australia","MMF","INACTIVE",2764
"AIA Australia","POLAR","ACTIVE",74
"AIA Australia","POLAR","INACTIVE",24
"AIA Australia","POLAR","PENDING",23
"AIA Australia","VALIDIC","ACTIVE",3116
"AIA Australia","VALIDIC","INACTIVE",224
"AIA Australia","VALIDIC","PENDING",400
"AIA Australia","VITALITY SELF-REPORTED","ACTIVE",2436
"AIA Hong Kong","APPLE","ACTIVE",13493
"AIA Hong Kong","GARMIN","ACTIVE",758
"AIA Hong Kong","GARMIN","INACTIVE",117
"AIA Hong Kong","GARMIN","PENDING",135
"AIA Hong Kong","MMF","INACTIVE",251
"AIA Hong Kong","POLAR","ACTIVE",159
"AIA Hong Kong","POLAR","INACTIVE",119
"AIA Hong Kong","POLAR","PENDING",100
"AIA Hong Kong","SAMSUNG","ACTIVE",4324
"AIA Hong Kong","VALIDIC","ACTIVE",12504
"AIA Hong Kong","VALIDIC","INACTIVE",346
"AIA Hong Kong","VALIDIC","PENDING",12909
"AIA Hong Kong","VITALITY SELF-REPORTED","ACTIVE",16764
"AIA Hong Kong","XIAOMI","ACTIVE",5826
"AIA Hong Kong","XIAOMI","INACTIVE",489
"AIA Hong Kong","XIAOMI","PENDING",1000
"AIA Malaysia","APPLE","ACTIVE",561
"AIA Malaysia","GARMIN","ACTIVE",88
"AIA Malaysia","GARMIN","INACTIVE",5
"AIA Malaysia","GARMIN","PENDING",8
"AIA Malaysia","MMF","INACTIVE",2
"AIA Malaysia","POLAR","ACTIVE",19
"AIA Malaysia","POLAR","INACTIVE",9
"AIA Malaysia","POLAR","PENDING",5
"AIA Malaysia","SAMSUNG","ACTIVE",437
"AIA Malaysia","VALIDIC","ACTIVE",1535
"AIA Malaysia","VALIDIC","INACTIVE",3
"AIA Malaysia","VALIDIC","PENDING",516
"AIA Malaysia","VITALITY SELF-REPORTED","ACTIVE",2737
"AIA Malaysia","XIAOMI","ACTIVE",942
"AIA Malaysia","XIAOMI","INACTIVE",35
"AIA Malaysia","XIAOMI","PENDING",124
"AIA Philippines","APPLE","ACTIVE",38
"AIA Philippines","GARMIN","ACTIVE",33
"AIA Philippines","GARMIN","INACTIVE",2
"AIA Philippines","GARMIN","PENDING",6
"AIA Philippines","POLAR","ACTIVE",1
"AIA Philippines","POLAR","INACTIVE",6
"AIA Philippines","POLAR","PENDING",1
"AIA Philippines","SAMSUNG","ACTIVE",22
"AIA Philippines","VALIDIC","ACTIVE",79
"AIA Philippines","VALIDIC","INACTIVE",10
"AIA Philippines","VALIDIC","PENDING",58
"AIA Philippines","VITALITY SELF-REPORTED","ACTIVE",260
"AIA Singapore","GARMIN","ACTIVE",198
"AIA Singapore","GARMIN","INACTIVE",26
