MARKET,MARKET_TIMEZONE,PARTNER,PARTNER_REGISTR_DATE_LOCAL,TOTAL_REGISTRATIONS
AIA Australia,+09:30,GARMIN,2016-08-05,10
AIA Australia,+09:30,GARMIN,2016-08-06,5
AIA Australia,+09:30,GARMIN,2016-08-07,3
AIA Australia,+09:30,GARMIN,2016-08-08,12
AIA Australia,+09:30,GARMIN,2016-08-09,7
AIA Australia,+09:30,GARMIN,2016-08-10,6
AIA Australia,+09:30,GARMIN,2016-08-11,7
AIA Australia,+09:30,POLAR,2016-08-05,1
AIA Australia,+09:30,POLAR,2016-08-09,2
AIA Australia,+09:30,VALIDIC,2016-08-05,43
AIA Australia,+09:30,VALIDIC,2016-08-06,7
AIA Australia,+09:30,VALIDIC,2016-08-07,10
AIA Australia,+09:30,VALIDIC,2016-08-08,37
AIA Australia,+09:30,VALIDIC,2016-08-09,25
AIA Australia,+09:30,VALIDIC,2016-08-10,18
AIA Australia,+09:30,VALIDIC,2016-08-11,16
AIA Australia,+09:30,VALIDIC,2016-08-12,4
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-05,16
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-06,4
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-07,3
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-08,7
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-09,10
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-10,10
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-11,7
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-12,2
AIA Hong Kong,+08:00,APPLE,2016-08-05,47
AIA Hong Kong,+08:00,APPLE,2016-08-06,27
AIA Hong Kong,+08:00,APPLE,2016-08-07,27
AIA Hong Kong,+08:00,APPLE,2016-08-08,871
AIA Hong Kong,+08:00,APPLE,2016-08-09,1612
AIA Hong Kong,+08:00,APPLE,2016-08-10,1348
AIA Hong Kong,+08:00,APPLE,2016-08-11,1319
AIA Hong Kong,+08:00,APPLE,2016-08-12,75
AIA Hong Kong,+08:00,GARMIN,2016-08-05,2
AIA Hong Kong,+08:00,GARMIN,2016-08-06,1
AIA Hong Kong,+08:00,GARMIN,2016-08-07,5
AIA Hong Kong,+08:00,GARMIN,2016-08-08,18
AIA Hong Kong,+08:00,GARMIN,2016-08-09,53
AIA Hong Kong,+08:00,GARMIN,2016-08-10,70
AIA Hong Kong,+08:00,GARMIN,2016-08-11,72
AIA Hong Kong,+08:00,GARMIN,2016-08-12,13
AIA Hong Kong,+08:00,POLAR,2016-08-05,1
